batch_id,line_id,product_sku,start_time,end_time,quantity_produced,downtime_minutes,quality_check_result,duration_hours
BATCH_0018,LINE_B,WHOLEMEAL_600G,2026-09-03 13:00:00,2026-09-03 14:17:08.675451,1119,0.0,PASS,1.2857431808333333
BATCH_0019,LINE_A,WHOLEMEAL_600G,2026-09-04 10:00:00,2026-09-04 12:29:38.499444,2541,12.0,PASS,2.494027623333333
BATCH_0020,LINE_A,WHITE_BREAD_800G,2026-09-04 08:00:00,2026-09-04 10:01:08.589314,1708,0.0,PASS,2.0190525872222223
BATCH_0021,LINE_A,WHITE_BREAD_800G,2026-09-04 16:00:00,2026-09-04 17:19:11.870412,1515,5.0,PASS,1.3199640033333333
BATCH_0022,LINE_B,BAGUETTE_250G,2026-09-04 12:00:00,2026-09-04 14:11:30.396684,2277,12.0,PASS,2.191776856666667
BATCH_0023,LINE_B,WHOLEMEAL_600G,2026-09-04 06:00:00,2026-09-04 08:21:38.040554,2025,20.0,PASS,2.3605668205555554
BATCH_0024,LINE_B,BAGUETTE_250G,2026-09-04 18:00:00,2026-09-04 20:16:54.924950,1955,0.0,PASS,2.2819235972222223
BATCH_0025,LINE_A,BAGUETTE_250G,2026-09-05 06:00:00,2026-09-05 08:54:27.474678,3396,0.0,FAIL,2.907631855
BATCH_0026,LINE_A,WHITE_BREAD_800G,2026-09-05 14:00:00,2026-09-05 16:49:30.920443,3164,0.0,PASS,2.825255678611111
BATCH_0027,LINE_A,WHOLEMEAL_600G,2026-09-05 15:00:00,2026-09-05 16:23:52.159933,1385,0.0,PASS,1.397822203611111
BATCH_0028,LINE_B,WHOLEMEAL_600G,2026-09-05 06:00:00,2026-09-05 08:11:52.401008,2307,0.0,PASS,2.1978891688888886
BATCH_0029,LINE_B,BAGUETTE_250G,2026-09-05 18:00:00,2026-09-05 19:36:54.101703,1338,0.0,PASS,1.6150282508333333
BATC_0030,LINE_B,WHITE_BREAD_800G,2026-09-05 07:00:00,2026-09-05 09:27:49.734683,2057,12.0,PASS,2.4638151897222222
BATCH_0031,LINE_A,WHITE_BREAD_800G,2026-09-06 16:00:00,2026-09-06 17:57:02.033122,2108,0.0,PASS,1.950564756111111
BATCH_0032,LINE_A,WHOLEMEAL_600G,2026-09-06 12:00:00,2026-09-06 14:55:43.412923,3151,20.0,PASS,2.9287258119444446
BATCH_0033,LINE_A,WHOLEMEAL_600G,2026-09-06 10:00:00,2026-09-06 11:47:52.744560,2055,20.0,PASS,1.7979846
BATCH_0034,LINE_B,WHOLEMEAL_600G,2026-09-06 13:00:00,2026-09-06 14:14:31.230210,1136,0.0,PASS,1.2420083916666667
BATCH_0035,LINE_B,WHOLEMEAL_600G,2026-09-06 14:00:00,2026-09-06 15:27:36.826075,1331,0.0,PASS,1.4602294652777779
BATCH_0036,LINE_B,WHOLEMEAL_600G,2026-09-06 06:00:00,2026-09-06 07:27:28.380843,1189,0.0,PASS,1.4578835675
BATCH_0037,LINE_A,WHITE_BREAD_800G,2026-09-07 10:00:00,2026-09-07 12:20:16.640004,2125,12.0,PASS,2.337955556666667
BATCH_0038,LINE_A,WHOLEMEAL_600G,2026-09-07 15:00:00,2026-09-07 16:56:43.231389,2027,5.0,PASS,1.9453420524999998
BATCH_0039,LINE_A,WHITE_BREAD_800G,2026-09-07 16:00:00,2026-09-07 17:51:43.568513,1891,5.0,PASS,1.8621023647222223
BATCH_0040,LINE_B,WHOLEMEAL_600G,2026-09-07 06:00:00,2026-09-07 08:20:48.224741,2651,0.0,PASS,2.3467290947222224
BATCH_0041,LINE_B,WHOLEMEAL_600G,2026-09-07 11:00:00,2026-09-07 13:36:04.266078,2224,0.0,PASS,2.6011850216666668
BATCH_0042,LINE_B,WHOLEMEAL_600G,2026-09-07 13:00:00,2026-09-07 14:16:49.312539,1143,0.0,PASS,1.2803645941666666
