movement_id,batch_id,warehouse_id,movement_type,quantity,timestamp,order_id
MOV_00020,BATCH_0020,WH_NINOVE,INBOUND,1708,2026-09-04 10:31:08.589314,
MOV_00021,BATCH_0021,WH_NINOVE,INBOUND,1515,2026-09-04 17:49:11.870412,
MOV_00022,BATCH_0022,WH_NINOVE,INBOUND,2277,2026-09-04 14:41:30.396684,
MOV_00023,BATCH_0023,WH_NINOVE,INBOUND,2025,2026-09-04 08:51:38.040554,
MOV_00024,BATCH_0024,WH_NINOVE,INBOUND,1955,2026-09-04 20:46:54.924950,
MOV_00025,BATCH_0025,WH_NINOVE,INBOUND,3396,2026-09-05 09:24:27.474678,
MOV_00026,BATCH_0026,WH_NINOVE,INBOUND,3164,2026-09-05 17:19:30.920443,
MOV_00027,BATCH_0027,WH_NINOVE,INBOUND,1385,2026-09-05 16:53:52.159933,
MOV_00028,BATCH_0028,WH_NINOVE,INBOUND,2307,2026-09-05 08:41:52.401008,
MOV_00029,BATCH_0029,WH_NINOVE,INBOUND,1338,2026-09-05 20:06:54.101703,
MOV_00030,BATC_0030,WH_NINOVE,INBOUND,2057,2026-09-05 09:57:49.734683,
MOV_00031,BATCH_0031,WH_NINOVE,INBOUND,2108,2026-09-06 18:27:02.033122,
MOV_00032,BATCH_0032,WH_NINOVE,INBOUND,3151,2026-09-06 15:25:43.412923,
MOV_00033,BATCH_0033,WH_NINOVE,INBOUND,2055,2026-09-06 12:17:52.744560,
MOV_00034,BATCH_0034,WH_NINOVE,INBOUND,1136,2026-09-06 14:44:31.230210,
MOV_00035,BATCH_0035,WH_NINOVE,INBOUND,1331,2026-09-06 15:57:36.826075,
MOV_00036,BATCH_0036,WH_NINOVE,INBOUND,1189,2026-09-06 07:57:28.380843,
MOV_00037,BATCH_0037,WH_NINOVE,INBOUND,2125,2026-09-07 12:50:16.640004,
MOV_00038,BATCH_0038,WH_NINOVE,INBOUND,2027,2026-09-07 17:26:43.231389,
MOV_00039,BATCH_0039,WH_NINOVE,INBOUND,1891,2026-09-07 18:21:43.568513,
MOV_00040,BATCH_0040,WH_NINOVE,INBOUND,2651,2026-09-07 08:50:48.224741,
MOV_00041,BATCH_0041,WH_NINOVE,INBOUND,2224,2026-09-07 14:06:04.266078,
MOV_00042,BATCH_0042,WH_NINOVE,INBOUND,1143,2026-09-07 14:46:49.312539,
MOV_00043,BATCH_0004,WH_NINOVE,INBOUND,2818,2026-09-01 11:55:55.341213,
MOV_00044,,WH_NINOVE,OUTBOUND,88,2026-09-07 00:00:00.000000,ORD_0030
MOV_00045,,WH_NINOVE,OUTBOUND,275,2026-09-08 00:00:00.000000,ORD_0017
MOV_00046,,WH_NINOVE,OUTBOUND,310,2026-09-07 00:00:00.000000,ORD_0010
MOV_00047,,WH_NINOVE,OUTBOUND,184,2026-09-04 00:00:00.000000,ORD_0028
MOV_00048,,WH_NINOVE,OUTBOUND,451,2026-09-05 00:00:00.000000,ORD_0005
MOV_00049,,WH_NINOVE,OUTBOUND,85,2026-09-09 00:00:00.000000,ORD_0019
MOV_00050,,WH_NINOVE,OUTBOUND,411,2026-09-06 00:00:00.000000,ORD_0029
MOV_00051,,WH_NINOVE,OUTBOUND,489,2026-09-09 00:00:00.000000,ORD_0039
MOV_00052,,WH_NINOVE,OUTBOUND,211,2026-09-06 00:00:00.000000,ORD_0016
MOV_00053,,WH_NINOVE,OUTBOUND,72,2026-09-02 00:00:00.000000,ORD_0027
MOV_00054,,WH_NINOVE,OUTBOUND,483,2026-09-08 00:00:00.000000,ORD_0026
MOV_00055,,WH_NINOVE,OUTBOUND,341,2026-09-07 00:00:00.000000,ORD_0012
MOV_00056,,WH_NINOVE,OUTBOUND,348,2026-09-07 00:00:00.000000,ORD_0031
MOV_00057,,WH_NINOVE,OUTBOUND,157,2026-09-05 00:00:00.000000,ORD_0033
MOV_00058,,WH_NINOVE,OUTBOUND,154,2026-09-07 00:00:00.000000,ORD_0014
MOV_00059,,WH_NINOVE,OUTBOUND,492,2026-09-07 00:00:00.000000,ORD_0035
MOV_00060,,WH_NINOVE,OUTBOUND,229,2026-09-05 00:00:00.000000,ORD_0040
MOV_00061,,WH_NINOVE,OUTBOUND,392,2026-09-07 00:00:00.000000,ORD_0038
MOV_00062,,WH_NINOVE,OUTBOUND,406,2026-09-09 00:00:00.000000,ORD_0006
MOV_00063,,WH_NINOVE,OUTBOUND,435,2026-09-04 00:00:00.000000,ORD_0002
MOV_00064,,WH_NINOVE,OUTBOUND,71,2026-09-06 00:00:00.000000,ORD_0032
MOV_00065,,WH_NINOVE,OUTBOUND,298,2026-09-08 00:00:00.000000,ORD_0003
MOV_00066,,WH_NINOVE,OUTBOUND,185,2026-09-07 00:00:00.000000,ORD_0023
MOV_00067,,WH_NINOVE,OUTBOUND,159,2026-09-06 00:00:00.000000,ORD_0018
MOV_00068,,WH_NINOVE,OUTBOUND,185,2026-09-09 00:00:00.000000,ORD_0015
MOV_00069,,WH_NINOVE,OUTBOUND,426,2026-09-04 00:00:00.000000,ORD_0008
MOV_00070,,WH_NINOVE,OUTBOUND,70,2026-09-05 00:00:00.000000,ORD_0013
MOV_00071,,WH_NINOVE,OUTBOUND,463,2026-09-10 00:00:00.000000,ORD_0021
MOV_00072,,WH_NINOVE,OUTBOUND,492,2026-09-08 00:00:00.000000,ORD_0037
MOV_00073,,WH_NINOVE,OUTBOUND,147,2026-09-09 00:00:00.000000,ORD_0007
MOV_00074,,WH_NINOVE,OUTBOUND,194,2026-09-02 00:00:00.000000,ORD_0024
MOV_00075,,WH_NINOVE,OUTBOUND,141,2026-09-03 00:00:00.000000,ORD_0036
MOV_00076,,WH_NINOVE,OUTBOUND,449,2026-09-07 00:00:00.000000,ORD_0034
MOV_00077,,WH_NINOVE,OUTBOUND,84,2026-09-02 00:00:00.000000,ORD_0011
MOV_00078,BATCH_9999,WH_NINOVE,INBOUND,300,2026-09-05 10:00:00.000000,
